,train_acc,test_acc,train_rmse,test_rmse,n_estimators,min_samples_split,min_samples_leaf,max_depth
mod0,0.9570916300722645,0.905871500909519,0.20713690518857333,0.30665050267063176,600,10,2,18
mod1,0.9291532402823774,0.90259122117545,0.26616308741188,0.3120115507536254,760,2,4,10
mod2,0.9758006209489599,0.904759524914453,0.15552482651128138,0.3085085751477947,360,5,1,16
mod3,0.9388552301472531,0.9042591079002745,0.2472719040543246,0.3093181320614131,1000,2,4,12
mod4,0.9699071490162545,0.9048151731655819,0.17346334951195236,0.3084264341953841,440,2,2,16
mod5,0.9767318965834205,0.9048150958978075,0.15252540959993696,0.30841680649788633,680,2,1,14
mod6,0.9411208931899431,0.9037588608751997,0.2426403427655813,0.3101161909108422,280,10,2,12
mod7,0.930473718523554,0.9029248325182356,0.26366907948757207,0.31142984447980165,200,10,2,10
mod8,0.9608862369052842,0.9045371173525959,0.1977661372282096,0.308862777845311,280,10,1,16
mod9,0.9383548479108225,0.9029249406931198,0.24827684191778973,0.3114331585380271,920,2,1,10
mod10,0.9583008958380754,0.9048706823347169,0.20419489812855587,0.3083346320268092,600,2,1,12
mod11,0.9764816900084284,0.9042590924467196,0.15332636482050693,0.30933385394307567,280,2,1,14
mod12,0.9591070730152828,0.9049263924000653,0.20221699359614148,0.3082065863239274,840,5,2,14
mod13,0.9377432580292691,0.9030359744849447,0.24950631206555612,0.31127823025979484,600,10,4,12
mod14,0.9583981933500965,0.9052599573821863,0.2039564612980814,0.307656841949873,360,2,1,12
mod15,0.9438035095500565,0.9035363760455682,0.2370555078412914,0.3104636933253209,440,10,4,14
mod16,0.9715195149632516,0.9050374725525548,0.16875319179699236,0.30806123712032785,1000,5,2,18
mod17,0.9319748787575254,0.9026468694265789,0.2608124892720506,0.3119019970303297,840,10,1,10
mod18,0.9490159240158762,0.9050931826179033,0.22578498570819105,0.30796007463878156,600,2,2,12
mod19,0.9485294142366538,0.9040367466990821,0.22686554721928834,0.3096681919167938,280,10,4,18
mod20,0.9749944205865875,0.9058158835654998,0.15810709468885123,0.306819517479789,360,2,2,18
mod21,0.9436784294477256,0.9045371637132605,0.23731349661773637,0.308851128165239,280,10,4,14
mod22,0.9488908120339431,0.9046484138548537,0.22606372149415913,0.30863062299092825,600,10,4,18
mod23,0.929278349366165,0.9017572700862603,0.26592302355733455,0.3133194844215883,680,2,4,10
mod24,0.9307517105870013,0.9023688908813673,0.263142705290464,0.31232469915032157,840,10,2,10
mod25,0.9281802728905543,0.9023132580837933,0.26798074361340485,0.3124208519751126,600,10,4,10
mod26,0.9496413757281037,0.9047039230239887,0.2243986795487912,0.3085730756834416,520,2,4,16
mod27,0.9517819403135404,0.9057046488774615,0.21958334919872852,0.30695994540402727,600,5,4,18
mod28,0.9286250628970061,0.901201189367398,0.2671462907452813,0.3142488737134708,200,5,4,10
mod29,0.9291810518541437,0.9020351713636975,0.26611050020475396,0.3128994848610644,360,2,4,10
mod30,0.9755504201702591,0.9047037993955497,0.15634443992664263,0.3086066852645451,920,2,2,18
mod31,0.9292783484001165,0.9025356656456504,0.26592660632951864,0.3120641348787195,1000,2,4,10
mod32,0.9485850112968752,0.9046484293084086,0.22674431318711702,0.3086617559721086,840,2,2,12
mod33,0.9381880490017694,0.9036475952800517,0.2486165027216451,0.3102814235681879,360,2,1,10
mod34,0.9517402437259349,0.9051487536012578,0.21967457382413508,0.30784787236980604,920,5,4,18
mod35,0.9293617522018612,0.9020351404565877,0.26576749892874124,0.3129222345404206,360,5,4,10
mod36,0.9765373083217181,0.905482287676269,0.15316736063990072,0.30732328437541245,1000,2,1,14
mod37,0.939035934359165,0.9037587836074253,0.2469049533251452,0.3101198322551765,680,5,4,12
mod38,0.9511981504111706,0.9040924876715403,0.22090765801738907,0.3095472183281602,200,2,4,18
mod39,0.9758840150902193,0.9044259444787771,0.15525794532983211,0.30906345147497216,520,5,1,16
mod40,0.9374791664384376,0.9041479968406753,0.25003660922826143,0.3094759961375561,840,10,4,12
mod41,0.94882130484062,0.9048707750560462,0.2262179962062066,0.30828916484008095,920,10,4,18
mod42,0.9344073320148316,0.9022576098326643,0.25610560026640405,0.3125325701623319,200,2,2,10
mod43,0.9756338181757128,0.9047038612097692,0.15608676348514053,0.3086061721629472,680,5,1,16
mod44,0.9380907514897483,0.9021464215052907,0.24880940604032986,0.3127336657144708,200,2,1,10
mod45,0.9355610045846152,0.9027024095028237,0.253836245604193,0.3118406036291538,200,5,1,10
mod46,0.9699349267763212,0.9053710529882307,0.17335446060031107,0.3075205543187566,280,2,2,16
mod47,0.9387579355333775,0.9037032126240708,0.24746918814019764,0.3101980224599098,840,2,4,12
mod48,0.9291671562117705,0.9018129183373892,0.2661307521605708,0.31322498129865683,760,5,4,10
mod49,0.9541309781765189,0.9052043091310574,0.21416448852521724,0.30777323375932153,600,10,1,14
mod50,0.9650839419873932,0.9056490006263326,0.1868458200224951,0.3070457134396732,680,10,1,18
mod51,0.9612476231099911,0.9052599573821863,0.19684885639852392,0.3076630478184768,600,10,1,16
mod52,0.982889454310666,0.904259046086055,0.13077540095896317,0.30932941900709304,1000,5,1,18
mod53,0.9516429423497195,0.9047596176357823,0.21989530426627701,0.30847986858584747,760,5,1,12
mod54,0.9358112005330733,0.9028693078955458,0.2533475226395917,0.3115255215618328,760,5,1,10
mod55,0.9956076902333632,0.9045369937241569,0.06626200852268992,0.308894495547959,520,2,1,18
mod56,0.9826948621847695,0.905093089896574,0.1315306861783339,0.30796674716243977,600,5,1,18
mod57,0.9486822981823624,0.9043703116812031,0.22652577360351014,0.30911616209903825,680,10,4,18
mod58,0.9593294699506056,0.904592734696615,0.20166257046773936,0.30876713000867767,360,5,2,14
mod59,0.9458467717932294,0.9039811757157276,0.23270056561395908,0.3097232295872717,840,2,4,14
mod60,0.9498637774936693,0.9054266857858048,0.22390488312754062,0.3074056786801459,1000,5,4,16
mod61,0.9350050272200601,0.902869276988436,0.25493082448092197,0.3115248410937245,680,2,2,10
mod62,0.971797496400165,0.9047038457562143,0.16792156191366697,0.3085741812662661,680,5,2,18
mod63,0.9457772665320034,0.9038144009514445,0.23284760525866535,0.31000358951419826,520,2,4,14
mod64,0.9516429413836709,0.9044259444787771,0.21989512094651023,0.3090341147585568,440,2,4,18
mod65,0.9476815433699866,0.9052043400381672,0.2287229371064749,0.30778729448830766,1000,5,2,12
mod66,0.9487101039578372,0.9044815154621316,0.22646644521598147,0.3089386843757457,840,10,4,18
mod67,0.9294451347505381,0.9024244464111669,0.26561410722924095,0.3122670951235998,520,2,4,10
mod68,0.9459996653994235,0.9048707905096011,0.2323729377860933,0.308301737392925,1000,2,4,14
mod69,0.9591487705689368,0.9050375498203292,0.2020982260753988,0.3080238359109378,600,5,2,14
mod70,0.9488212971122317,0.904648382947744,0.22622360346451115,0.3086729164730159,360,10,4,18
mod71,0.9489047154047048,0.9052600501035156,0.22603882070968667,0.3076351358138393,200,2,2,12
mod72,0.928388774183504,0.9015348007101837,0.26759206879024944,0.31370173737728974,360,10,4,10
mod73,0.929222744577555,0.9028134896553132,0.26603058215583014,0.3116803036057625,440,2,4,10
mod74,0.948793505827485,0.9059271800677576,0.22628387910708708,0.30655443603645094,520,10,4,18
mod75,0.9589958769627426,0.9053711302560051,0.20248989678053636,0.3075520866470385,440,5,2,14
mod76,0.96142833601634,0.9050374261918902,0.19638134037024838,0.3080843530612708,200,2,2,14
mod77,0.9291254393371455,0.9019240139434336,0.2662178672843337,0.31308452993432606,280,5,4,10
mod78,0.9293895309279767,0.9015348470708483,0.26572345522359675,0.3136875397541839,600,5,4,10
mod79,0.9613866162435694,0.9058715627237385,0.19648435463117062,0.3066942054380754,440,2,2,14
mod80,0.9759674169598671,0.9048706514276071,0.1550029098108689,0.30834483269665136,1000,5,1,16
mod81,0.9517819461098316,0.9054267476000243,0.21958424680358038,0.3074056554133814,760,5,4,18
mod82,0.9440120195374432,0.9044816854512353,0.23661498425108896,0.3089051946507416,1000,10,1,12
mod83,0.9719503958026505,0.9039254038361596,0.1674674894878855,0.3098809099743526,360,5,2,18
mod84,0.94994717743122,0.9047595867286725,0.22372159788164675,0.30847639812835204,840,5,4,16
mod85,0.9436923289542932,0.9039811757157276,0.23728852511894102,0.3097491896780183,440,10,1,12
mod86,0.9699627325517962,0.9054266394251401,0.17328570166484616,0.30742948408092197,1000,2,2,16
mod87,0.9654314499386007,0.9047038766633241,0.18592036896234349,0.3085945966823137,840,10,1,18
mod88,0.9439981238950699,0.9044816699976804,0.23664303449776064,0.30891544037332863,600,10,1,12
mod89,0.9455826792363495,0.9034808050622137,0.23327333069232048,0.3105570994961163,360,2,4,14
mod90,0.949641385388589,0.9043702498669836,0.22439436192405565,0.30912800983067906,440,5,4,16
mod91,0.929514644842007,0.9022576098326643,0.2654814310245056,0.31252485796015006,920,5,4,10
mod92,0.9292088470030846,0.9020908041612715,0.2660584513965482,0.31279889137039374,920,2,4,10
mod93,0.9752168281484443,0.9042590769931648,0.1574217094826071,0.3093538660951249,520,2,2,18
mod94,0.9357417058983813,0.903536406952678,0.253485589061052,0.31046649627317935,520,5,1,10
mod95,0.9956215897399308,0.902757872311294,0.06613539521876008,0.3117780156479254,840,2,1,18
mod96,0.9498637852220577,0.9045372100739252,0.22390774095901392,0.30883351196567577,760,5,4,16
mod97,0.936186500735076,0.9032584593145762,0.2526035228852027,0.3109198548549728,840,5,1,10
mod98,0.9714083073181289,0.9041479504800106,0.1690809263273617,0.3095025428140622,520,5,2,18
mod99,0.9611781342715906,0.9056491242547716,0.19702605497205566,0.30702411067876667,1000,10,1,16
