,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.22645390859557435,0.222686230248307,1.7647410945743778,1.8062157539693682
k = 2,0.22545313021238741,0.2216704288939052,1.7613983608138148,1.774378726360249
k = 3,0.2265651061937062,0.218510158013544,1.8401450104578592,1.8649372564927291
k = 4,0.23156899810964082,0.20056433408577878,1.8656057519014717,1.8804867051662444
k = 5,0.2373512732124986,0.2110609480812641,1.7886958635412358,1.807870927692679
k = 6,0.24357833870788392,0.2126410835214447,1.759535031531857,1.7985446838163273
k = 7,0.2433003447125542,0.20711060948081264,1.7730546792429882,1.8094310243980498
k = 8,0.2452463026798621,0.20959367945823928,1.779846278300481,1.7995484760997569
k = 9,0.2503613921939286,0.2108352144469526,1.7533149172795224,1.7844955531557107
k = 10,0.25469809852107195,0.2146726862302483,1.7323557305537025,1.75429173839074
k = 11,0.2557544757033248,0.21805869074492099,1.7218289004988643,1.7478784302038883
k = 12,0.25453130212387415,0.22223476297968398,1.725199962786317,1.7473617649752775
k = 13,0.25525408651173137,0.21986455981941308,1.7146454140165106,1.7473940610276415
k = 15,0.25842321805848995,0.21963882618510158,1.692912075523126,1.72578375560384
k = 17,0.26398309796508396,0.22020316027088035,1.6813615129729818,1.7157154362653726
k = 19,0.26670743911931505,0.21693002257336344,1.6615697296286802,1.7139383448983416
k = 21,0.2657066607361281,0.22302483069977427,1.6657805569110664,1.6875924855518871
k = 23,0.2666518403202491,0.2270880361173815,1.6510630267203754,1.6867228166018111
k = 25,0.27032136105860116,0.22663656884875846,1.6472027784146512,1.6821999999194863
k = 27,0.2691537862782164,0.2234762979683973,1.6372491867049968,1.68364191943145
k = 29,0.2746024685866785,0.2267494356659142,1.6281228280037197,1.6701468555750896
k = 31,0.2755476481707995,0.22844243792325056,1.6183095597573556,1.6575975979832165
k = 33,0.27632603135772266,0.22900677200902936,1.6171754111609828,1.6577678157466769
k = 35,0.27888357611475595,0.2293453724604966,1.6041443878806263,1.6492696242439333
k = 37,0.2770488157455799,0.2237020316027088,1.6021849309222884,1.6489616405784953
k = 39,0.2764928277549205,0.2234762979683973,1.599701823655905,1.6508086806852373
k = 41,0.2767152229511843,0.22404063205417607,1.6000319689900828,1.6370429763895251
k = 43,0.2758812409651952,0.22099322799097065,1.5925958729662477,1.642137020922836
k = 45,0.27643722895585454,0.2237020316027088,1.5872455330146458,1.6337302384724728
k = 47,0.2777160013343712,0.22415349887133182,1.5848968871822897,1.6339374813628142
k = 49,0.27905037251195375,0.2244920993227991,1.5814904286720546,1.6286445499179454
k = 51,0.2783275881240965,0.22505643340857787,1.577918064973886,1.6188436081164552
